index,pts_time,pkt_pts_time,pkt_dts_time,best_effort_timestamp_time,key_frame,pict_type,pkt_size,width,height
0,0.0,,0.0,0.0,1,I,147481.0,1280.0,640.0
1,0.1,,0.1,0.1,0,P,52536.0,1280.0,640.0
2,0.2,,0.2,0.2,0,P,56163.0,1280.0,640.0
3,0.3,,0.3,0.3,0,P,56722.0,1280.0,640.0
4,0.4,,0.4,0.4,0,P,45018.0,1280.0,640.0
5,0.500278,,0.500278,0.500278,0,P,29094.0,1280.0,640.0
6,0.599967,,0.599967,0.599967,0,P,29560.0,1280.0,640.0
7,0.699956,,0.699956,0.699956,0,P,17702.0,1280.0,640.0
8,0.799944,,0.799944,0.799944,0,P,19159.0,1280.0,640.0
9,0.899933,,0.899933,0.899933,0,P,23565.0,1280.0,640.0
10,0.999922,,0.999922,0.999922,1,I,74372.0,1280.0,640.0
11,1.099911,,1.099911,1.099911,0,P,17599.0,1280.0,640.0
12,1.1999,,1.1999,1.1999,0,P,17831.0,1280.0,640.0
13,1.300011,,1.300011,1.300011,0,P,18398.0,1280.0,640.0
14,1.399956,,1.399956,1.399956,0,P,17860.0,1280.0,640.0
15,1.4999,,1.4999,1.4999,0,P,17725.0,1280.0,640.0
16,1.599844,,1.599844,1.599844,0,P,18700.0,1280.0,640.0
17,1.6999,,1.6999,1.6999,0,P,17949.0,1280.0,640.0
18,1.799956,,1.799956,1.799956,0,P,17615.0,1280.0,640.0
19,1.900011,,1.900011,1.900011,0,P,17431.0,1280.0,640.0
20,1.999922,,1.999922,1.999922,1,I,62447.0,1280.0,640.0
21,2.099833,,2.099833,2.099833,0,P,22073.0,1280.0,640.0
22,2.200011,,2.200011,2.200011,0,P,21218.0,1280.0,640.0
23,2.300189,,2.300189,2.300189,0,P,20430.0,1280.0,640.0
24,2.399956,,2.399956,2.399956,0,P,20587.0,1280.0,640.0
25,2.500233,,2.500233,2.500233,0,P,20462.0,1280.0,640.0
26,2.599867,,2.599867,2.599867,0,P,20708.0,1280.0,640.0
27,2.699833,,2.699833,2.699833,0,P,20619.0,1280.0,640.0
28,2.7998,,2.7998,2.7998,0,P,20273.0,1280.0,640.0
29,2.899767,,2.899767,2.899767,0,P,20826.0,1280.0,640.0
30,2.999733,,2.999733,2.999733,1,I,61225.0,1280.0,640.0
31,3.0997,,3.0997,3.0997,0,P,25932.0,1280.0,640.0
32,3.199667,,3.199667,3.199667,0,P,24360.0,1280.0,640.0
33,3.300122,,3.300122,3.300122,0,P,19377.0,1280.0,640.0
34,3.399778,,3.399778,3.399778,0,P,25137.0,1280.0,640.0
35,3.499733,,3.499733,3.499733,0,P,29563.0,1280.0,640.0
36,3.6005,,3.6005,3.6005,0,P,22621.0,1280.0,640.0
37,3.699756,,3.699756,3.699756,0,P,23385.0,1280.0,640.0
38,3.799722,,3.799722,3.799722,0,P,29943.0,1280.0,640.0
39,3.899689,,3.899689,3.899689,0,P,28485.0,1280.0,640.0
40,3.999811,,3.999811,3.999811,1,I,66846.0,1280.0,640.0
41,4.0997,,4.0997,4.0997,0,P,29496.0,1280.0,640.0
42,4.1997,,4.1997,4.1997,0,P,27828.0,1280.0,640.0
43,4.2997,,4.2997,4.2997,0,P,22136.0,1280.0,640.0
44,4.3997,,4.3997,4.3997,0,P,27807.0,1280.0,640.0
45,4.4997,,4.4997,4.4997,0,P,26970.0,1280.0,640.0
46,4.5997,,4.5997,4.5997,0,P,27773.0,1280.0,640.0
47,4.6997,,4.6997,4.6997,0,P,27219.0,1280.0,640.0
48,4.7997,,4.7997,4.7997,0,P,26915.0,1280.0,640.0
